--> param_num_turns=444.1757373370854
--> debug using colil current 5.312496370798714
--> 0.125,1.466157133395206
--> 0.1875,1.86772485879836
--> 0.25,2.123830925623894
--> 0.3125,2.160631978053535
--> 0.375,2.09753202719698
--> 0.4375,1.896927112283158
--> 0.5,1.613010183631797
--> 0.5625,1.293759007478447
--> 0.625,0.9547669008529749
--> 0.6875,0.6633202260961973
--> 0.75,0.4573818475166521

--> param_num_turns=313.2409995325003
--> debug using colil current 9.156318933254093
--> 0.125,2.911629676257354
--> 0.1875,3.707443170042809
--> 0.25,4.10036355389554
--> 0.3125,4.133121680930778
--> 0.375,3.928588380172634
--> 0.4375,3.494704693979004
--> 0.5,2.900602837734768
--> 0.5625,2.231362516590665
--> 0.625,1.587283497616581
--> 0.6875,1.021217349047819
--> 0.75,0.6499981127220237
